unitid,scugrad2010,scugffn2010,scugffp2010,fgrnt_p2010,fgrnt_a2010,sgrnt_p2010,sgrnt_a2010,scugrad2011,scugffn2011,scugffp2011,fgrnt_p2011,fgrnt_a2011,sgrnt_p2011,sgrnt_a2011,scugrad2012,scugffn2012,scugffp2012,fgrnt_p2012,fgrnt_a2012,sgrnt_p2012,sgrnt_a2012,scugrad2013,scugffn2013,scugffp2013,fgrnt_p2013,fgrnt_a2013,sgrnt_p2013,sgrnt_a2013,scugrad2014,scugffn2014,scugffp2014,fgrnt_p2014,fgrnt_a2014,sgrnt_p2014,sgrnt_a2014,scugrad2015,scugffn2015,scugffp2015,fgrnt_p2015,fgrnt_a2015,sgrnt_p2015,sgrnt_a2015
100654,4940,1110,22,75,4843.8862,4,1557.25,4285,856,20,79,4898.5269,6,886.52728,4170,1023,25,81,4952.5449,1,1311.8462,4051,1066,26,80,4962.9614,1,1250,4210,1198,28,76,5118.5986,1,1550,4505,1473,33,74,4808.9482,1,1101.6364
100663,11028,1542,14,38,5430.4409,1,1027.7778,11128,1578,14,37,4957.7349,0,4397,11291,1654,15,36,4773.7583,0,9075,11542,1732,15,41,3897.27,0,3790,11679,1719,15,38,5144.0078,0,4327.3999,11511,1593,14,34,5317.8589,0,1273.2
100690,352,4,1,50,2737.5,0,0,343,8,2,88,4492.8569,13,300,329,10,3,90,2781.7778,40,150,322,3,1,100,1817.6666,0,0,279,9,3,78,4206,0,0,307,6,2,83,3870,33,461.5
100706,6005,600,10,34,6169.0698,1,1781.25,5935,652,11,32,4892.0483,2,2057.0769,5882,615,10,31,4693.4688,1,1900,5696,638,11,25,4917.7998,1,1625,5618,714,13,27,4397.4116,3,896.05554,6013,1027,17,25,4683.1421,1,836.53845
100724,4882,1090,22,83,5065.1367,14,4158.4268,4743,1102,23,88,4432.0298,17,3692.011,5130,1436,28,76,4962.1421,11,5648.811,5356,1520,28,71,4808.3223,7,7381.0679,4805,1068,22,81,4806.27,10,7041.5713,4764,1008,21,87,4515.2769,10,6943.1733
100751,24420,5489,22,21,4806.3613,4,569.91913,25657,5703,22,20,4358.6216,5,700.57294,28026,6338,23,20,5310.897,3,8876.667,29440,6428,22,18,4455.6929,1,682.92682,30752,6794,22,19,4525.8247,1,701.85187,31958,7176,22,18,4633.293,1,667.95062
100760,2447,594,24,69,5191.5171,6,577.25,2451,587,24,72,4388.7202,9,572.12964,2020,886,44,38,4449.4971,0,600,1906,480,25,67,4291.5703,5,1248.2084,1813,457,25,56,4205.5254,4,956.82355,1787,392,22,59,4505.3896,1,600
100812,3621,0,0,,,,,3388,0,0,,,,,3414,0,0,,,,,3175,0,0,,,,,3128,0,0,,,,,3041,0,0,,,,
100830,4829,758,16,54,4706.7471,19,785.28571,4403,709,16,52,3930.3452,3,670,4239,595,14,48,4280.563,5,681.3125,4334,589,14,51,4302.0796,3,811.76471,4377,638,15,54,4625.959,3,670,4257,657,15,48,4497.4253,2,754.25
100858,20221,4183,21,15,5830.3945,2,9255.1387,20446,4170,20,14,5016.3833,2,7970.5537,20175,3815,19,13,4431.7744,1,1242.5358,19799,3696,19,13,4608.5039,0,2179.7856,20629,4552,22,14,4585.5122,1,2310.6052,21786,4855,22,13,4668.0146,1,1453.3112
